x,y
585.0,0.644
595.0,0.622
605.0,0.638
615.0,0.649
625.0,0.652
635.0,0.639
645.0,0.646
655.0,0.657
665.0,0.652
675.0,0.655
685.0,0.644
695.0,0.663
705.0,0.663
715.0,0.668
725.0,0.676
735.0,0.676
745.0,0.686
755.0,0.679
765.0,0.678
775.0,0.683
785.0,0.694
795.0,0.699
805.0,0.71
815.0,0.73
825.0,0.763
835.0,0.812
845.0,0.907
855.0,1.044
865.0,1.336
875.0,1.881
885.0,2.169
895.0,2.075
905.0,1.598
915.0,1.211
925.0,0.916
935.0,0.746
945.0,0.672
955.0,0.627
965.0,0.615
975.0,0.607
985.0,0.606
995.0,0.609
1005.0,0.603
1015.0,0.601
1025.0,0.603
1035.0,0.601
1045.0,0.611
1055.0,0.601
1065.0,0.608
